,place_id,type,lat,lng,name,type_id
16,ChIJ__8_r-ys8TUROPykTANuafc,store,39.9349312,116.4493564,ÙéìÔÕÞù¡,Sx2187
17,ChIJ__8jZXlU8DURkzpobr3ZXmQ,"store,beauty_salon",39.9797577,116.3641238,úÅùûáóãóÓÑ,
18,ChIJ__8jZXlU8DURQGUG0LMmyz4,"beauty_salon,store",39.9797577,116.3641238,úÅùûáóãóÓÑ,
19,ChIJ__8v2wKt8TURHo4_SARnLN8,lodging,39.9128981,116.4557643,5L Meet Guomao,Lx0340
20,ChIJ__8v2YNS8DURQw8vv9FDaIg,"store,bakery",39.8985974,116.3783044,û¿××?,Sx0121
21,ChIJ__9juiJT8DURmVIa-BwujlE,restaurant,39.9380957,116.3967265,ÑÎßÔ??,Rx2054
22,ChIJ__9PRBJO8DURH1XshCl0pPs,restaurant,39.8957123,116.3111521,ÓÞÒ¦â©?,Rx2124
23,ChIJ__EQQ-xT8DURtZ0BlUhJJwI,store,39.967192,116.344745,??Ëïî§àò,Sx2261
24,ChIJ__NBymBR8DUR_6MQwH23Ntg,store,39.965939,116.319295,Hi-24,
25,ChIJ__nxt5dS8DURAyDqcHDCSjw,store,39.9028668,116.3942379,ú­ñý?,Sx2435
26,ChIJ__StqBur8TURQej4HrPl_w8,store,39.985752,116.451429,Mengnuo Jianzhenqi,Sx2338
27,ChIJ__uE_BNR8DUR5RoeL7I61mc,store,39.9677298,116.2957431,Kudi Pets,Sx1971
28,ChIJ_-GkbVpU8DURWP00scOtAnM,store,40.0032638,116.3644268,China Welfare Lottery,Sx1793
29,ChIJ_-GSfVKq8TURPuW2ml65Hq4,restaurant,39.988317,116.47793,Ú¸ãÝ?ó×,Rx2815
30,ChIJ_-JXtUNR8DURXfDqH7eLgfo,university,39.972221,116.308708,Renmin University of China Journalism School,Ux0176
31,ChIJ_-MXkoBN8DUR7w8EOHxtFac,store,39.89682,116.368391,øÁËÀí»?ßÂïÁ,
32,ChIJ_-OFNexU8DURDHtySRL1Jmo,transit_station,39.992569,116.387154,ÝÁòãà¤?ÝÁ,Tx0089
33,ChIJ_-TW2Uqq8TURlPaIU5_ftcg,store,39.984151,116.487466,øÁËÀ?ïÁ,Sx2238
34,ChIJ_-UpgXj28DURjGs8Ftr-x8w,restaurant,40.13632,116.13354,?Û©?××?åÏë¿,Rx0067
35,ChIJ_06D8BBS8DURFv4NZ58n5e0,restaurant,39.917332,116.338946,?ú­?ú­?,Rx2199
36,ChIJ_0DnOcr48DURknafh59aoEY,"store,bakery",40.083579,116.320234,Wedome,Sx0982
37,ChIJ_0f35fRT8DURWvKeVF4BRDM,store,39.97677,116.3467,Baodao Glasses,Sx0120
38,ChIJ_0jChMpU8DURYKX7-VLYZl0,"store,bakery",39.98204,116.417093,ÑÑ?à÷ßÔNO.37,Sx1634
39,ChIJ_0rp1YSs8TURjaaC90A6hPc,restaurant,39.946031,116.455261,Old Town Roses Bar & Restaurant,
40,ChIJ_0WZZQ9U8DURvCk3l6upO84,restaurant,39.9883171,116.3373811,And Fayuan Hezhonghuan,
41,ChIJ_0ZpqhRR8DURKXE7CnXIzzk,store,39.9669733,116.3013754,Chongbeier Pets Thing Store,Sx0329
42,ChIJ_1-3Wq5S8DURooxuPTiMLuc,store,39.895021,116.41135,?ÓÞ?Û®ÑõçéÖÕùõ,
43,ChIJ_16Q6BBN8DUR1bOPtIDpH_I,restaurant,39.865926,116.388163,Ê«Ê«??í­àò,
44,ChIJ_1B0UcZS8DURMNy2Lfk7Hsc,store,39.910705,116.405174,øµÚÅßÂïÁ,Sx1578
45,ChIJ_1IVM7RU8DUR4Z8eIRdK7cM,restaurant,39.979808,116.414502,ÝÁÌÈÑõåÇÞÖê¹ñÐïÁÎ·×â,Rx1895
46,ChIJ_2dnCpb48DUR8LYcedw7Dcc,restaurant,40.081871,116.300065,ì£?í­??,
47,ChIJ_2SzUrdN8DUR_EyHzLb_mlo,store,39.871849,116.354455,???è©,Sx1290
48,ChIJ_309c7H48DURDMVnCClUoyg,restaurant,40.0756502,116.3175589,Waipo Braised Pork In Brown Sauce,Rx2521
49,ChIJ_3b_TQ1K8DURPF9lZ2eq5dI,travel_agency,39.758121,116.348202,Railway Ticket & Airline Ticket Agency,Tg0083
50,ChIJ_3MeH2Ws8TUR-scsiSVaMo0,restaurant,39.937234,116.475704,bar & restrurant,Rx2744
51,ChIJ_3Qfrn6s8TURgLdubLV3_Z0,restaurant,39.94487,116.472473,ÖÕÊ«ë¿?,Rx2050
52,ChIJ_3VQ6A9R8DURa3GPCOEsw-I,lodging,39.963848,116.290849,?ûý?ïÁ,Lx0561
53,ChIJ_44U93JU8DURcIsyV5qh1Bw,"bakery,store",39.986439,116.351253,ÑÑ?à÷ßÔ,
54,ChIJ_4JYgMZV8DURtExF727n7Ko,"store,restaurant",40.026397,116.344552,àüêªöáóÉá³ýÞïÁ,Sx2064
55,ChIJ_4ngbiir8TURsHowZrchrOo,store,39.995943,116.430182,?ü£ïÁ,Sx2423
56,ChIJ_4p4s8NR8DURrAoRwCHlzKc,restaurant,39.92771,116.298195,?úÅýÞóÉ?,Rx2373
57,ChIJ_596LZhT8DUR-Rs8DQ5xxKA,store,39.959327,116.361029,Shangkeke Glasses,
58,ChIJ_5L4tj9a8DURO0dRWG6fiUI,restaurant,39.996911,116.20517,?ÝÖÞÑáÈóø?,Rx2814
59,ChIJ_5mXVZhS8DURmI507rxPWVQ,store,39.8990304,116.3930601,Beijing Speciality,Sx1591
60,ChIJ_5tVu6qr8TURfV6se0MFthU,restaurant,39.98758,116.467348,ãæ÷ïô¹ßÏûý?Ê«ßÈóø,Rx2647
61,ChIJ_6qkznJF8DURSqeFVkErpJA,park,39.9054436,116.206097,Songlin Park,
62,ChIJ_6Y37MVS8DURmOx-8PI9HZo,restaurant,39.913347,116.406625,ÝÁÌÈú­æØ?ëÀ?î÷ÍëÞÉð¯öÒÕé?óÉ?,Rx2832
63,ChIJ_6zXamFS8DURhY9uD7s5CZs,lodging,39.91342,116.367919,Ý£ðëÊ«Õé?,Lx0548
64,ChIJ_7-LZzhS8DUR2EXSWG6BktQ,restaurant,39.929817,116.347101,?ê½óÉ?,Rx0737
65,ChIJ_7C2N0lR8DURRyqS0r-FbUI,store,39.983369,116.306651,Sculpting in Time Cafe,Sx1904
66,ChIJ_7CEawNU8DURmhrUr-9bchM,beauty_salon,39.991974,116.329583,Ú¸?ðãúþÚ¸?ÞÞ?,Bs0009
67,ChIJ_7lr7Pqs8TURRkz9ha-fYKA,restaurant,39.9226967,116.4567186,Beijing Xuesong Restaurant,Rx2533
68,ChIJ_7PGr7H48DURyfN0iZJDhd0,restaurant,40.074961,116.31671,ïÒ×Õèâ?óÉ?,
69,ChIJ_7sISNFV8DURtC5G5qRLVqk,restaurant,40.027602,116.331567,Qiaohengyu Dumpling Restaurant,Rx1408
70,ChIJ_7SLn2Gy8TURDOyfdShoJEc,restaurant,39.85749,116.469439,ÝÁÌÈóãøÁ?ìÌñÐÊ«,Rx1997
71,ChIJ_7ycwkRR8DURP-eusxIZp6M,store,39.975545,116.311679,Switzerland Peak Li Audiphone,Sx1913
72,ChIJ_7YZErRH8TURlXUdQUpt5Q4,store,40.3688209,116.8391466,Wine & Cigarette Sale,
73,ChIJ_80LvdpV8DURLYg4V8B5BL0,transit_station,40.031036,116.335388,?ùÁñéÊ¶,
74,ChIJ_8xqyZVN8DURPQSgBXKB8Ts,store,39.887809,116.353064,ÝÁÌÈæÓñÐ,Sx0694
75,ChIJ_9-Qk6ut8TUR42epKgbGCkk,university,39.907492,116.471455,??Ê¶çÈ?ÝÁÌÈá¦?ñéãý,Ux0295
76,ChIJ_90-hPtT8DURhCJDzgBVDz0,restaurant,39.97665,116.331296,ñúÍíÜýøÐí­?,
77,ChIJ_9Kaz2xR8DURT6pi5GwjfZs,restaurant,39.964809,116.301949,ÓÞö¢ÞìÒþ??,Rx0381
78,ChIJ_9mOD_pT8DURedJHa5wVUCc,university,39.976856,116.33614,ÝÁÌÈñé?õ½?êÂ,Ux0057
79,ChIJ_9vgxHtR8DUR7YAtsD4eeNQ,restaurant,39.954136,116.317077,Jianjiang Yipin,Rx0241
80,ChIJ_9YOKIyy8TURjnDGk7-Nj84,restaurant,39.861321,116.458459,ÝÁÌÈã¼ðÈ??ÛÜåÇïã?íä,Rx0641
81,ChIJ_aBOo6BN8DURlIkzUqJhzqs,beauty_salon,39.873993,116.371457,íñ?ìé?,
82,ChIJ_amrMppU8DURUYEQIrAUfb0,store,39.976524,116.389129,ãá?Ñ©??ßä,Sx2003
83,ChIJ_amZqgBR8DURNFB9MeEjAu4,store,39.956841,116.283504,ÑÑê¹ÎÛ?ßÂïÁæÓñÐÒþ??,Sx0797
84,ChIJ_b-nTiBS8DURlB-oc3xN_64,restaurant,39.928429,116.327521,ß£à¤ØüãÝ,
85,ChIJ_b-vLs9U8DURmgShOlpFo3U,"store,clothing_store",39.9884623,116.4101272,ESPRIT Home,Sx0219
86,ChIJ_b03uRyt8TURbLZsmyhl2qo,hair_care,39.911419,116.45373,Jingyi,Hc0051
87,ChIJ_b87qYhR8DURG2A8ostTtz8,restaurant,39.9380895,116.3195195,ß¾???,Rx2554
88,ChIJ_b99SthU8DURiw6thXrRbAA,hair_care,40.001235,116.406081,Botany Ranfa Yangfahu Hair Salon,Hc0061
89,ChIJ_ba3bzRS8DUR5qWajEFddMU,store,39.939049,116.343493,õ±ã¼?,Sx0916
90,ChIJ_blaLM5U8DURktkQFZyyKRE,store,39.992353,116.410764,?ÙþëåßÀ,
91,ChIJ_bwUY3RU8DURjTYoDlkyyvI,university,39.982548,116.351783,ùþÍöùþô¸ÓÞ?å¨ÓÞ?,Ux0090
92,ChIJ_bX-0FVR8DUR-m63Rx4hw8I,store,39.9811948,116.3225719,China Welfare Lottery,Sx1477
93,ChIJ_bX-0FVR8DUR3nUqO6v1jXY,store,39.9811948,116.3225719,China Welfare Lottery,Sx1980
94,ChIJ_c5WL6hW8DURKvSAZiF2FQE,"bakery,store",39.9929223,116.3244995,Daoxiangcun,Yx0006
95,ChIJ_c6F5AJO8DURh58EfnJow6s,library,39.908654,116.315192,National Engineering Technology Library,Xx0019
96,ChIJ_cA9laP68DURbol74NFmu4A,restaurant,40.22013,116.23793,îïö©Óì??ïÁ,Rx0350
97,ChIJ_cJnTP1T8DURuzmkhPhbTJc,store,39.975408,116.325904,ãæ??ïÁò±õð×ì?ã¼Ý»,Sx0733
98,ChIJ_cMX6M5U8DUREFwzbUsFv_c,beauty_salon,39.9890477,116.411358,Jade Lotus Chinese Massage,Bs0118
99,ChIJ_cO5xPRN8DUROBCGhg6JCI4,lodging,39.89981,116.347528,à¤äÌøÜ????ïÁ,Lx0537
100,ChIJ_cSjNgVN8DURi1X5yfqPmN4,restaurant,39.8638312,116.3835084,Traditional Lanzhou Stretched Noodles,
101,ChIJ_ctEk7ey8TURtvaNJWAXG1s,store,39.864754,116.430133,Óì?ÚÏÕÇ÷å?,Sx0038
102,ChIJ_cw52eRT8DURL9XDWJcX8lA,restaurant,39.972465,116.333535,ÙØÚ«óøñéãÒöáóÉ,Rx0637
103,ChIJ_cYINcKs8TUR28sQ2kkEBB8,restaurant,39.931816,116.440209,??óÉ?,Rx0912
104,ChIJ_dbMJXdR8DURH6S7uX08q_I,university,39.954211,116.310608,Beijing Multi-language Service Center,Ux0145
105,ChIJ_dhSS32r8TURE8BQcivLmwo,park,39.954196,116.4548,Xiayuan Park,
106,ChIJ_di_Nris8TURH_XjN2JGF-A,restaurant,39.941634,116.43239,?ÎÃ×ì?óÉ?,Rx1250
107,ChIJ_dj--ABU8DURq-zdfBMsuDU,beauty_salon,39.986186,116.328061,ÑÑâÏ?,Bs0310
108,ChIJ_dLT_bJS8DURK-opNGvFDMs,restaurant,39.89765,116.416906,Mianxiangju,Rx1094
109,ChIJ_dMYtzlS8DURTvo2_KGpsBE,library,39.930792,116.345029,Xicheng Library Zhanlan Road Community Fenguan,Xx0010
110,ChIJ_dQi-mRU8DUR23k3ID0jTU0,restaurant,39.986687,116.368547,ÓÞ???â¢Ø«Õ¸??,
111,ChIJ_dwPLPpN8DURd-Dh1AkIoG8,park,39.9009856,116.3341503,Huichengmen Park £¨East Gate£©,Kx0056
112,ChIJ_dWXPvuq8TURVdSd67uH9bM,store,39.997488,116.455995,Guoda Pharmacy,Sx2391
113,ChIJ_dZbJkKr8TURp4NjD2reNwQ,store,39.970824,116.440942,××ÚÅßÂïÁ,
114,ChIJ_e-yL3Ct8TUR3wdMKCqjulk,restaurant,39.888017,116.455405,ãæË²ÖÕí®?óÉ?,Rx1441
115,ChIJ_em-31ZQ8DURFQmoS0783mo,restaurant,39.956707,116.269103,Baihuiyuan Home Cooking,
116,ChIJ_ePEz3RU8DURZEtWPfn6e0I,university,39.982121,116.349171,Beihang University Education Foundation,
117,ChIJ_erH80tT8DURgXIAgzQgjGM,"store,clothing_store",39.9189505,116.4569741,?ÕÙ???ù¡ø«ïÁ,
118,ChIJ_eT3lGpR8DUR0uFdkIwtm0Y,restaurant,39.9700908,116.3029186,Jiali Jiawai Home Cooking,Rx0378
119,ChIJ_fW588hP8DURQDO27-wvfGM,beauty_salon,39.905915,116.267627,á³á³?è©,
120,ChIJ_Q3_MvhO8DURE5ZkEQ-fHeI,store,39.876575,116.28861,Boda Wholesale,Sx0451
121,ChIJ_Qav6fys8TURKu7g56Z9teA,store,39.9171153,116.4565628,Qingshan Annong,
122,ChIJ_Qkpieuu8TURHozWbQssUyM,"shoe_store,bakery,store,restaurant",39.908391,116.5412748,Ò¯ÞÙ÷ïßã,Ss0001
123,ChIJ_QWNeTVR8DURetuKrBCR_64,restaurant,39.988772,116.300692,ýÛ?óãß²ô¶×ì?ë¿,Rx2351
124,ChIJ_QXkPd1V8DUR_uqvOmATwj0,store,40.0383399,116.3352959,Tongle Cigarettes Icecream Shop,Sx2242
125,ChIJ_Qy0QTVR8DURFAE1jJg8c2g,restaurant,39.989946,116.300053,yippin,Rx1664
126,ChIJ_QyJ62VW8DUReAIHkWar7RQ,"store,bakery,restaurant",40.035897,116.308483,ù­?ÓÒ,Sx1707
127,ChIJ_R7br12s8TURA73pzBRFtgE,store,39.927336,116.47475,You Linjiahui Convenience Supermarket,Sx0605
128,ChIJ_RHN6CFT8DURr7oKXo8nSyQ,restaurant,39.9330678,116.3966246,Feiteng Yehua Chongqing Sifang Fish Pot,Rx2741
129,ChIJ_Ru75UtR8DURAr3BTUNsRys,restaurant,39.985162,116.30626,ùì?Ü§?,Rx0507
130,ChIJ_S7uZvms8TURII9sIuLJ0Q4,restaurant,39.9209943,116.442252,ì®ÌØ?ÞçìÑßÂ??á¶,
131,ChIJ_S8tT-hS8DURkLv94D_b5VQ,tourist_attraction,39.918358,116.393934,Ciyinlou,Ta0043
132,ChIJ_SKHJElR8DURlBuetXrXnas,store,39.9828415,116.3061523,ÕÕ?ïÃ,Sx1536
133,ChIJ_T_bMJFN8DURp0C9oy_vieo,stadium,39.886793,116.356371,à¾Ùë?Îè,
134,ChIJ_TArSdNU8DURo-h73NMhrBM,restaurant,39.994667,116.418851,?Ú«ûý?,Rx1900
135,ChIJ_TfOhkSs8TURs4uZT4jK3gE,restaurant,39.922561,116.481113,?ùêñÐÊ«,Rx1971
136,ChIJ_TTsPatW8DURE5f5L2oFA9w,restaurant,39.987111,116.32096,Î¡ê¹ÞçÛ®óø,Rx0549
137,ChIJ_TWDJZtU8DURu81xKQGsD-U,restaurant,39.977146,116.384759,ÝÁÌÈô¹ÏÖÝ¤óÉ?,Rx0086
138,ChIJ_TydTFmt8TURhtrI6Y2kgv0,university,39.884908,116.43696,Off-Campus Learning Center of Modern Distance Education of Southwest University of Finance and Econo,Ux0039
139,ChIJ_UHtKTlT8DURGiHLCYZYsd4,restaurant,39.9445496,116.4021028,?Õô??è©,Rx2473
140,ChIJ_UMgXfJT8DUR4Gvat_-htbA,store,39.97188,116.344954,Yuedi Store,Sx0763
141,ChIJ_V1VoeGs8TURBw6h7BMrPyo,"store,shoe_store",39.9189703,116.4474299,Jinlibao,Sx1565
142,ChIJ_VcEPshP8DUR9EZUjf0cAKg,restaurant,39.9041804,116.2671421,Zhengshunzhai,
143,ChIJ_VEqmauq8TURkyVBK5FDmhY,restaurant,40.033916,116.422723,Ú«ÒýÚ¸,Rx2258
144,ChIJ_VfFUPFT8DURnx1sLbSuoLI,beauty_salon,39.975501,116.342241,??çµùö??Ú¸é»Ú¸?,Bs0057
145,ChIJ_VIJEcZP8DUR2CwHKGD_ni8,beauty_salon,39.907798,116.264907,ÞªÛíñýîòÚ¸é»Ú¸?,
146,ChIJ_VMk_kBR8DUR9gCZSHzicBY,lodging,39.97347,116.304246,Beijing Haidian¡¤Zhongguancun¡¤,Lx0264
147,ChIJ_VPzTv1T8DURFS9o8umFXw0,store,39.975561,116.325891,ÏØßæÑÎ××ßÂú¼,
148,ChIJ_VyPzhdU8DURXP2GwVv31eM,store,39.999871,116.339286,Ø¼??,Sx0215
149,ChIJ_VZYe7pW8DURbeThdSu-CoA,"store,bakery",39.9988037,116.309805,?Íý??,Sx0058
150,ChIJ_W0xgQyy8TUR_vBMlR4SIgQ,store,39.862236,116.492903,Tuode Wei'er Stainless Steel,Sx2269
151,ChIJ_W1e6mRF8DUR9z-Rr-45SDI,"store,restaurant,clothing_store",39.905656,116.222874,û¿ßÌ??,Sx0580
152,ChIJ_wH0d4_P9jURWzBSSxNcAkQ,restaurant,40.736402,116.642785,Shiyuege,
153,ChIJ_wko5iJS8DURYSvQbLUSGqk,restaurant,39.9269214,116.3350436,Zhang Jibanggu,Rx1223
154,ChIJ_wnLV2Gr8TURVzBUBeC9t0c,"store,shoe_store",39.9590923,116.4487773,Kawa Wendi,
155,ChIJ_WnPgvZN8DUR6SQtzB_beqQ,restaurant,39.901101,116.342534,ÛÜ÷²ß£?íä,Rx2152
156,ChIJ_wV_d6ZW8DURYZu6beqp2T0,"store,book_store",39.9977012,116.3192263,Mai Wangshuguan,Sx0002
157,ChIJ_wVXa4Gt8TURGUU9irj8FPo,"store,bakery",39.87638,116.470667,Old Beijing Tradition Cake,Sx0697
158,ChIJ_x-qlwlU8DURj7MZvyC0b58,beauty_salon,39.9826787,116.3414287,Ayuan Hair Salon,Bs0054
159,ChIJ_xA2KNtW8DURig52gqIW0H0,restaurant,40.005796,116.288937,ñúÍíÜýøÐí­?,
160,ChIJ_XI7tOhT8DUR0_H1F2BPqGM,"store,restaurant",39.967198,116.33798,èÜ?Ü÷,
161,ChIJ_xI82upN8DUR8K8xrmJRHpQ,restaurant,39.8836,116.32912,ÑÑß£×ù,Rx1078
162,ChIJ_xI82upN8DURJFgnFQcsOEE,restaurant,39.887174,116.335424,øó?Ø«Õ¸?,Rx1417
163,ChIJ_XKQc4lT8DURJU2PD9PbSDI,restaurant,39.974757,116.355705,?í²?ãÝÝ¤,Rx2081
164,ChIJ_XqJCr5T8DURslv8Lsg44Tk,store,39.957602,116.354395,ì¥Õô?ëîÊ«Îý?,Sx0417
165,ChIJ_XrUIQZP8DURE01wQJDUV4Y,beauty_salon,39.880717,116.266095,Dreams Liangdian Women Beauty Parlor,Bs0299
166,ChIJ_Y_5kYtT8DURjNd5bc7HLhs,store,39.974093,116.352598,Ù£?ÏéæÓ??ïÁÝÁÌÈú­ïã???ßÂ???Ý»,Sx1812
167,ChIJ_y2sZS9S8DURK5UgmlAg_QQ,restaurant,39.935641,116.332844,ãæË²?Ú«óÉ?,Rx0242
168,ChIJ_y79MHdS8DUR_BPdEAUqwQU,restaurant,39.904565,116.358278,??á¦Ê«,
169,ChIJ_Y9DpvpT8DURUj3nSwRZ2d0,restaurant,39.9733,116.336495,Sichuan-chongqing Food,Rx0944
170,ChIJ_Yb5Za5W8DURCTLf2BSkNF4,restaurant,39.992977,116.315373,à÷Ô´?Ú«á³ýÞ,
171,ChIJ_YcpzZFS8DURMH2Yfei5vjE,store,39.905732,116.38489,ÝÁÌÈÌÈÔ´ÓÞ??ë¿?ãÝù¡êóùÚÍëÞÉîÄë¿ïÒïÃÍê?ßÂïÁ,Sx2264
172,ChIJ_Ye0bBtN8DURQPHWcmn_S9s,lodging,39.861119,116.385893,Shangjian Capsule Hostel South Beijing Railway Station,
173,ChIJ_yiXaS1U8DURmSLzKA5Qhrc,university,40.019392,116.335291,ÝÁÌÈ?ùêÓÞ??éÄÙþ×â?êÂ??ÖØÎè?,Ux0131
174,ChIJ_yLkZlRS8DURG4-pIBt74S4,restaurant,39.93351,116.36753,Ü¡ú­?Ú¸ãÝàò,Rx1775
175,ChIJ_Z43fDmt8TUR1rz8UOMpDR8,store,39.9053333,116.4345892,Instant Fortune Pawnbroking,
176,ChIJ_ZA_NYuq8TURLZxaIijAePQ,restaurant,40.0089188,116.4624027,Shishangtian Street,Rx2811
177,ChIJ_zBHn0lR8DURTDw1iNJfA_c,lodging,39.9842293,116.3039839,FURAMAXPRESS BUSINESS HOTEL - Beijing,Lx0333
178,ChIJ_ZdOBPVN8DURnacRw78Jjxk,store,39.901226,116.346097,??Ñ©?ðÕ?,Sx1077
179,ChIJ_ZDwyDVU8DURem8lPzoSnpY,restaurant,40.01433,116.34621,Õóóãú­?ÓÞñÐ?,Rx0666
180,ChIJ_zgwLa1W8DURcvDiF4pthCk,"store,home_goods_store",39.987326,116.315483,ÒùË¬??ïÁ,Sx1526
181,ChIJ_Zkf8jNU8DURSKWmsIgjcK8,restaurant,40.015238,116.342005,ÞÌ÷×??,Rx0776
182,ChIJ_Zll2Kut8TURYEHWHiGdjY0,store,39.906399,116.470428,Ever - Jewel,Sx2296
183,ChIJ_zMWszlP8DUR2xln6Y5Pn28,"store,bakery",39.859288,116.257135,Daoxiangcun,Sx1261
184,ChIJ_ZNk7yyv8TUR1Q0Jyrz4WeI,store,39.923611,116.569068,China Welfare Lottery,Sx1835
185,ChIJ_ZpisBhJ8DURsbcW88I3Iow,lodging,39.821454,116.2842969,Jinjiang Inn Shiyan Beijing Rd,Lx0046
186,ChIJ_zsvVvhT8DUR_rAPiiqaHf4,store,39.981202,116.331729,Ù£æÓÙ£ñÐ,Sx0415
187,ChIJ_ZtFoA5O8DURMohlk3AaV-g,restaurant,39.895841,116.317689,ÝÁÌÈê¹ÙòóÉ?,Rx0877
188,ChIJ_ZtUcCJT8DURRKzdWiKbEhQ,restaurant,39.935704,116.396356,Sheep Laoba Meat in Hot Pot,Rx2923
189,ChIJ-_9nNYNR8DURHQPFu8AS3mI,beauty_salon,39.945979,116.313228,ú­?Ú¸é»Ú¸?,Bs0122
190,ChIJ-_SOYKpU8DURumqCojEzP1k,restaurant,39.963858,116.41622,Laolv Donkey Burger,Rx1237
191,ChIJ--7c2iit8TURJMl9zN8havM,store,39.917234,116.428902,Xingcangli Supermarket,Sx2465
192,ChIJ--bPMWpR8DUR-ZvIjBVlqzU,store,39.968365,116.306446,?ü£?ù¡,Sx1172
193,ChIJ--OaG21S8DURsa9BkUs6lE0,store,39.913748,116.350553,?ÚÏ????Ëïî§,Sx0642
194,ChIJ--uSCiBU8DURNmhvQ3lihIA,museum,40.00529,116.325115,Archives Hall,Mx0001
195,ChIJ--xyQCSr8TURyCPAl5spWcY,restaurant,39.990459,116.438677,á³Ù¾?,Rx2692
196,ChIJ-09uwXGt8TURQUfOlb_cNMU,store,39.88934,116.455964,ß²êªêáù¡á÷?×³ÝÂïÁ,Sx2409
197,ChIJ-0GFZ4NW8DURE1IVZVXyDig,restaurant,40.01623,116.319635,ùÁÑõ?Øü,
198,ChIJ-0I-wcdV8DURAf3FbcRaQMw,restaurant,40.028502,116.346798,ñì?á³ýÞ,Rx0950
199,ChIJ-0k4Ch-R8DURHuVwudw5WFA,lodging,40.3723497,115.9026272,Kanglong Hengxing Hotel,
200,ChIJ-0saFGFO8DURvL24JbdfHuM,restaurant,39.878088,116.305422,Haoxiangde Big Bowl Noodles,
201,ChIJ-0Xg6bNW8DURDDBVXVBCenY,university,39.992904,116.3087,Peking University Russian Building,Ux0239
202,ChIJ-0ZXnnhR8DURWv3sgWZutMQ,"store,shoe_store",39.9486399,116.3172459,Beijing Jieyi,Sx0748
203,ChIJ-1ejiB5X8DURVeSoDEsoICA,store,40.020577,116.274455,óôÚÅõ½,Sx0972
204,ChIJ-1f5z8BP8DURB-GNgwrP4AU,"store,restaurant",39.906914,116.259276,ÑÎßÔ??,
205,ChIJ-1IbMuVS8DUR-Q8jVixSxYA,restaurant,39.92438,116.38432,?àÎ?íä,Rx2248
206,ChIJ-1roN1hU8DURqgwGI54Z9Uw,"store,furniture_store,home_goods_store",40.0015539,116.3697719,?????,Sx1413
207,ChIJ-210EQFT8DUREE2kb6NU2pE,restaurant,39.937355,116.376153,Øöü£á³ýÞïÁ,Rx2024
208,ChIJ-26JyZpT8DUR17sDwu7h67Y,restaurant,39.966351,116.361965,øÜøÜê¨,Rx1109
209,ChIJ-2grGANT8DURn_MZ4oc3yeM,store,39.9358461,116.3823049,Beijing Fuhai Shunxin Business and Trade Center,Sx2455
210,ChIJ-2R_mhdS8DURnCGGk3I2-zE,store,39.92265,116.337664,China Sports Lottery,Sx0155
211,ChIJ-3_hcYyq8TUR5x1ZtDaxaSk,store,40.012643,116.459971,Tianrunkang Pharmacy,Sx0739
212,ChIJ-330iQhS8DURvLocQxFTiiw,transit_station,39.907669,116.337837,ÙÊ?ò¢?,
213,ChIJ-35QN7tW8DURjusxIImQr3E,tourist_attraction,40.000939,116.312436,çÊ??,Ta0025
214,ChIJ-3BplG1U8DURmnVq_lebf7M,lodging,39.988751,116.352736,ÝÁÌÈÛ°???,
